time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-12 00:00:00+00:00,0,0,5,1
2023-06-13 00:00:00+00:00,0,0,45,1
2023-06-14 00:00:00+00:00,0,0,71,4
2023-06-15 00:00:00+00:00,0,0,13,4
2023-06-16 00:00:00+00:00,1,1,1,1
2023-06-22 00:00:00+00:00,2,1,0,0
2023-06-23 00:00:00+00:00,0,0,1,1
2023-06-28 00:00:00+00:00,2,2,1,1
2023-07-07 00:00:00+00:00,1,1,1,1
2023-07-13 00:00:00+00:00,1,1,3,2
2023-07-24 00:00:00+00:00,0,0,3,2
2023-07-25 00:00:00+00:00,0,0,4,1
2023-07-28 00:00:00+00:00,2,1,1,1
2023-07-31 00:00:00+00:00,0,0,1,1
2023-08-01 00:00:00+00:00,0,0,2,1
2023-08-04 00:00:00+00:00,0,0,2,1
2023-08-05 00:00:00+00:00,1,1,0,0
2023-08-06 00:00:00+00:00,0,0,4,1
2023-08-09 00:00:00+00:00,0,0,11,1
2023-08-10 00:00:00+00:00,1,1,2,1
2023-08-15 00:00:00+00:00,0,0,2,1
2023-08-28 00:00:00+00:00,0,0,1,1
2023-08-29 00:00:00+00:00,0,0,9,2
2023-08-30 00:00:00+00:00,0,0,1,1
2023-09-01 00:00:00+00:00,0,0,1,1
2023-09-02 00:00:00+00:00,0,0,2,2
2023-09-04 00:00:00+00:00,1,1,0,0
2023-09-05 00:00:00+00:00,0,0,1,1
2023-09-07 00:00:00+00:00,0,0,1,1
2023-09-13 00:00:00+00:00,1,1,2,1
2023-09-14 00:00:00+00:00,0,0,4,2
2023-09-15 00:00:00+00:00,0,0,33,1
2023-09-16 00:00:00+00:00,1,1,1,1
2023-09-18 00:00:00+00:00,0,0,9,1
2023-09-21 00:00:00+00:00,0,0,1,1
2023-09-22 00:00:00+00:00,0,0,7,1
2023-09-24 00:00:00+00:00,0,0,1,1
2023-09-25 00:00:00+00:00,0,0,3,1
2023-09-26 00:00:00+00:00,0,0,4,1
2023-09-29 00:00:00+00:00,0,0,7,2
2023-10-02 00:00:00+00:00,0,0,1,1
2023-10-03 00:00:00+00:00,0,0,1,1
2023-10-04 00:00:00+00:00,0,0,4,1
2023-10-06 00:00:00+00:00,0,0,7,3
2023-10-09 00:00:00+00:00,2,1,0,0
2023-10-11 00:00:00+00:00,2,2,1,1
2023-10-13 00:00:00+00:00,1,1,2,2
2023-10-14 00:00:00+00:00,0,0,1,1
2023-10-17 00:00:00+00:00,0,0,1,1
2023-10-18 00:00:00+00:00,0,0,1,1
2023-10-23 00:00:00+00:00,1,1,0,0
2023-10-25 00:00:00+00:00,0,0,1,1
2023-10-26 00:00:00+00:00,1,1,0,0
2023-10-29 00:00:00+00:00,0,0,3,1
2023-11-02 00:00:00+00:00,0,0,1,1
2023-11-06 00:00:00+00:00,1,1,0,0
2023-11-08 00:00:00+00:00,0,0,9,2
2023-11-09 00:00:00+00:00,0,0,3,3
2023-11-15 00:00:00+00:00,0,0,6,1
2023-11-20 00:00:00+00:00,0,0,1,1
2023-11-29 00:00:00+00:00,0,0,1,1
2023-11-30 00:00:00+00:00,0,0,39,3
2023-12-01 00:00:00+00:00,0,0,2,1
2023-12-04 00:00:00+00:00,0,0,2,1
2023-12-05 00:00:00+00:00,0,0,25,3
2023-12-06 00:00:00+00:00,1,1,23,2
2023-12-11 00:00:00+00:00,0,0,1,1
2023-12-13 00:00:00+00:00,2,1,2,1
2023-12-14 00:00:00+00:00,0,0,1,1
2023-12-20 00:00:00+00:00,0,0,1,1
2023-12-26 00:00:00+00:00,0,0,2,1
2023-12-28 00:00:00+00:00,0,0,1,1
2023-12-30 00:00:00+00:00,0,0,1,1
2023-12-31 00:00:00+00:00,1,1,0,0
2024-01-01 00:00:00+00:00,2,1,1,1
2024-01-09 00:00:00+00:00,0,0,1,1
2024-01-10 00:00:00+00:00,0,0,1,1
